Workflow ID;Anbieter;Durchlauf ID;Detektionsdauer (in ms);Umschreibedauer (in ms);Bereich 1;Bereich 2;Bereich 3;Bereich 4;Bereich 5;Bereich 6;;Median aus 100 Durchläufen;Workflow ID;Anbieter;Detektionsdauer (in ms);Umschreibedauer (in ms)
1;AWS;63;279;105199;62022;43177;;;;;;;;;;
1;AWS;64;326;112857;66608;46249;;;;;;;;;;
1;AWS;65;301;113117;66373;46744;;;;;;;;;;
1;AWS;66;286;114305;67924;46381;;;;;;;;;;
1;AWS;67;281;106913;63352;43561;;;;;;;;;;
1;AWS;68;317;114542;66485;48057;;;;;;;;;;
1;AWS;69;287;107240;62133;45107;;;;;;;;;;
1;AWS;70;355;103020;59754;43266;;;;;;;;;;
1;AWS;71;316;102630;62163;40467;;;;;;;;;;
1;AWS;72;308;105242;57667;47575;;;;;;;;;;
1;AWS;73;335;103523;63385;40138;;;;;;;;;;
1;AWS;74;270;103430;59492;43938;;;;;;;;;;
1;AWS;75;305;106953;66590;40363;;;;;;;;;;
1;AWS;76;327;107913;65621;42292;;;;;;;;;;
1;AWS;77;317;114900;66453;48447;;;;;;;;;;
1;AWS;78;306;109318;67025;42293;;;;;;;;;;
1;AWS;79;323;108542;66291;42251;;;;;;;;;;
1;AWS;80;350;113982;70435;43547;;;;;;;;;;
1;AWS;81;312;111943;67518;44425;;;;;;;;;;
1;AWS;82;339;101257;57518;43739;;;;;;;;;;
1;AWS;83;300;99118;57973;41145;;;;;;;;;;
1;AWS;84;319;106860;65928;40932;;;;;;;;;;
1;AWS;85;362;110574;67628;42946;;;;;;;;;;
1;AWS;86;305;103775;63561;40214;;;;;;;;;;
1;AWS;87;286;107364;58397;48967;;;;;;;;;;
1;AWS;88;370;103584;59450;44134;;;;;;;;;;
1;AWS;89;335;112428;65621;46807;;;;;;;;;;
1;AWS;90;317;106154;63069;43085;;;;;;;;;;
1;AWS;91;342;106345;62139;44206;;;;;;;;;;
1;AWS;92;343;105164;64597;40567;;;;;;;;;;
1;AWS;93;270;106231;63739;42492;;;;;;;;;;
1;AWS;94;314;110320;62140;48180;;;;;;;;;;
1;AWS;95;328;104593;59773;44820;;;;;;;;;;
1;AWS;96;290;102185;59892;42293;;;;;;;;;;
1;AWS;97;302;108283;59753;48530;;;;;;;;;;
1;AWS;98;316;108136;67881;40255;;;;;;;;;;
1;AWS;99;346;115728;68108;47620;;;;;;;;;;
1;AWS;100;368;104040;60039;44001;;;;;;;;;;
2;IBM;1;463;106392;59104;47288;;;;;;;;;;
2;IBM;2;465;107208;60272;46936;;;;;;;;;;
2;IBM;3;461;102212;60789;41423;;;;;;;;;;
2;IBM;4;501;106657;63239;43418;;;;;;;;;;
2;IBM;5;435;107583;61954;45629;;;;;;;;;;
2;IBM;6;468;112189;68875;43314;;;;;;;;;;
2;IBM;7;463;112333;70287;42046;;;;;;;;;;
